지점번호,지점명,일시,일조합,일조율,일사합
108,서울,Jan-12,190.5,62.05,234.5
108,서울,Feb-12,224.9,71.74,325.25
108,서울,Mar-12,191.8,51.63,367.51
108,서울,Apr-12,212.5,53.72,448.48
108,서울,May-12,251.3,57.04,553.4
108,서울,Jun-12,232,52.48,534.46
108,서울,Jul-12,144,32.11,375.14
108,서울,Aug-12,158.7,37.71,362.84
108,서울,Sep-12,190.8,51.19,356.28
108,서울,Oct-12,235.4,67.66,349.6
108,서울,Nov-12,181.1,59.32,228.59
108,서울,Dec-12,193.6,64.81,210.32
108,서울,Jan-13,167.7,54.55,217.73
108,서울,Feb-13,187.2,61.78,296.48
108,서울,Mar-13,256.3,69.05,443.31
108,서울,Apr-13,213.2,53.92,449.86
108,서울,May-13,238.1,54.08,513.2
108,서울,Jun-13,224,50.67,507.43
108,서울,Jul-13,101,22.51,268.48
108,서울,Aug-13,217.9,51.73,420.57
108,서울,Sep-13,191,51.22,368.82
108,서울,Oct-13,249.9,71.79,372.79
108,서울,Nov-13,188,61.56,233.94
108,서울,Dec-13,184.4,61.73,202.42
108,서울,Jan-14,184.4,60.03,225.31
108,서울,Feb-14,163.9,54.15,268.4
108,서울,Mar-14,214.7,57.9,392.05
108,서울,Apr-14,213.2,53.97,455
108,서울,May-14,304,69.12,627.82
108,서울,Jun-14,184.9,41.81,465.41
108,서울,Jul-14,172.7,38.48,296.02
108,서울,Aug-14,150.7,35.75,352.98
108,서울,Sep-14,214.3,57.42,388.56
108,서울,Oct-14,239.8,68.83,362.31
108,서울,Nov-14,194.1,63.54,250.26
108,서울,Dec-14,195.6,65.48,229.68
108,서울,Jan-15,193.3,62.94,245.05
108,서울,Feb-15,180,59.5,267.04
108,서울,Mar-15,270.8,73.07,458.62
108,서울,Apr-15,216,54.71,449.84
108,서울,May-15,290.4,66.03,602.95
108,서울,Jun-15,258.1,58.39,530.22
108,서울,Jul-15,176.1,39.23,428.46
108,서울,Aug-15,207,49.1,436.33
108,서울,Sep-15,262.1,70.17,458.73
108,서울,Oct-15,239.7,68.72,359.17
108,서울,Nov-15,109,35.64,177.93
108,서울,Dec-15,177.8,59.48,206.35
108,서울,Jan-16,196.1,63.86,246.52
108,서울,Feb-16,195.2,62.26,288.43
108,서울,Mar-16,253.7,68.29,432.76
108,서울,Apr-16,219.5,55.47,460.4
108,서울,May-16,280.1,63.57,594.54
108,서울,Jun-16,229.7,51.97,508.07
108,서울,Jul-16,160.4,35.76,403.01
108,서울,Aug-16,236.1,56.11,468.05
108,서울,Sep-16,191.6,51.41,370.92
108,서울,Oct-16,195.7,56.27,318.14
108,서울,Nov-16,173.3,56.76,235.03
108,서울,Dec-16,166.4,55.71,205.35
108,서울,Jan-17,209,67.97,256.11
108,서울,Feb-17,210,69.31,311.86
108,서울,Mar-17,255.2,68.73,444.9
108,서울,Apr-17,259.7,65.66,488.91
108,서울,May-17,301.5,68.48,645.35
108,서울,Jun-17,285.2,64.51,625.27
108,서울,Jul-17,123.1,27.44,375.27
108,서울,Aug-17,166.2,39.47,411.09
108,서울,Sep-17,233.7,64.75,445.23
108,서울,Oct-17,222.7,66.14,240.97
108,서울,Nov-17,163.9,59.45,145.34
108,서울,Dec-17,176.1,58.96,151.69
108,서울,Jan-18,186.7,65.01,158.99
108,서울,Feb-18,194.2,66.53,309.28
108,서울,Mar-18,209.1,56.38,446.41
108,서울,Apr-18,223.4,56.54,513.19
108,서울,May-18,231.6,52.66,561.24
108,서울,Jun-18,236.6,53.51,602.59
108,서울,Jul-18,228.5,52.64,561.1
108,서울,Aug-18,232.5,55.19,517.16
108,서울,Sep-18,218.7,58.6,470.96
108,서울,Oct-18,241.9,69.43,403.34
108,서울,Nov-18,177.6,58.13,265.35
108,서울,Dec-18,199.9,66.92,253.64
108,서울,Jan-19,215,70.01,285.25
108,서울,Feb-19,190.5,62.98,319.96
108,서울,Mar-19,203.8,54.99,417.72
108,서울,Apr-19,221.6,56.13,502.12
108,서울,May-19,314,71.4,701.39
108,서울,Jun-19,235.1,53.18,589.02
108,서울,Jul-19,150.1,33.44,426.99
108,서울,Aug-19,239.3,58.59,486.24
108,서울,Sep-19,168.9,45.22,386.78
108,서울,Oct-19,236.5,67.8,395.43
108,서울,Nov-19,203.2,66.45,284.28
108,서울,Dec-19,164.2,54.93,223.25
108,서울,Jan-20,177.9,57.93,252.58
108,서울,Feb-20,185,58.99,313.44
108,서울,Mar-20,262.9,70.77,515.18
108,서울,Apr-20,283.3,71.59,637.52
108,서울,May-20,177.9,40.38,564.83
108,서울,Jun-20,206.1,46.62,603.98
108,서울,Jul-20,119.4,26.62,464.55
108,서울,Aug-20,74.7,17.76,325.97
108,서울,Sep-20,174.3,46.77,452.05
108,서울,Oct-20,227.1,65.3,428.25
108,서울,Nov-20,171.5,56.17,281.51
108,서울,Dec-20,203.6,68.16,276.39
108,서울,Jan-21,176.4,59.25,270.25
108,서울,Feb-21,181,59.74,348.55
108,서울,Mar-21,213,57.37,476.94
108,서울,Apr-21,208.6,52.74,558.28
108,서울,May-21,203.7,46.25,570.5
108,서울,Jun-21,185.5,41.96,563.35
108,서울,Jul-21,195.2,43.51,578.3
108,서울,Aug-21,127.3,30.24,428.88
108,서울,Sep-21,182,48.82,474.13
108,서울,Oct-21,168.4,48.38,353.62
108,서울,Nov-21,163.6,53.57,271.64
108,서울,Dec-21,185.4,62.07,257.25
108,서울,Jan-22,206.9,67.35,301.7
108,서울,Feb-22,203.8,67.33,376.05
108,서울,Mar-22,173,46.64,425.4
108,서울,Apr-22,246.4,62.35,615.24
108,서울,May-22,216.5,70.45,543.29
,,,,,
,,,,,
