지점번호,지점명,일시,평균풍속ms,최대풍속ms,최대풍속풍향deg,최대풍속일자,최대순간풍속ms,최대순간풍속풍향deg,최대순간풍속일자,
108,서울,Jan-12,2.5,7.5,320,2012-01-31,12.6,340,2012-01-31,
108,서울,Feb-12,2.9,8.1,290,2012-02-17,12.5,320,2012-02-17,
108,서울,Mar-12,3.5,10.2,290,2012-03-24,18,270,2012-03-24,
108,서울,Apr-12,3.4,12,290,2012-04-06,20,290,2012-04-06,
108,서울,May-12,2.7,8.6,250,2012-05-05,15.7,270,2012-05-27,
108,서울,Jun-12,2.8,9.1,50,2012-06-19,19.2,20,2012-06-19,
108,서울,Jul-12,2.7,7.7,230,2012-07-29,15.2,50,2012-07-19,
108,서울,Aug-12,3,13.7,200,2012-08-28,24,160,2012-08-28,
108,서울,Sep-12,2.3,11.5,50,2012-09-17,20.4,50,2012-09-17,
108,서울,Oct-12,2.3,7.2,200,2012-10-22,12.6,270,2012-10-22,
108,서울,Nov-12,2.7,9.3,250,2012-11-11,19,290,2012-11-12,
108,서울,Dec-12,2.7,8.8,290,2012-12-04,14.3,290,2012-12-03,
108,서울,Jan-13,2.7,8.2,270,2013-01-24,13.5,270,2013-01-24,
108,서울,Feb-13,2.9,8.4,270,2013-02-23,14.8,290,2013-02-23,
108,서울,Mar-13,3,8.8,230,2013-03-09,15.4,320,2013-03-20,
108,서울,Apr-13,3.4,9.9,230,2013-04-16,17.7,200,2013-04-29,
108,서울,May-13,2.9,8.5,270,2013-05-05,11.6,70,2013-05-27,
108,서울,Jun-13,2.2,6.2,250,2013-06-23,10.4,20,2013-06-04,
108,서울,Jul-13,3.4,10.9,230,2013-07-08,18,230,2013-07-08,
108,서울,Aug-13,2.8,9.9,200,2013-08-29,15.6,250,2013-08-05,
108,서울,Sep-13,2.2,6.2,70,2013-09-22,11,50,2013-09-22,
108,서울,Oct-13,2.5,8.5,250,2013-10-11,14.8,250,2013-10-11,
108,서울,Nov-13,2.7,12.6,230,2013-11-25,20,230,2013-11-25,
108,서울,Dec-13,2.4,8.3,230,2013-12-31,13.2,200,2013-12-31,
108,서울,Jan-14,2.4,7.8,270,2014-01-01,14.8,270,2014-01-01,
108,서울,Feb-14,2.7,7.4,70,2014-02-07,12.1,70,2014-02-07,
108,서울,Mar-14,3,9.1,230,2014-03-17,15.5,230,2014-03-17,
108,서울,Apr-14,2.8,9.3,250,2014-04-06,18.4,50,2014-04-03,
108,서울,May-14,3.2,11.1,230,2014-05-12,16.3,270,2014-05-04,
108,서울,Jun-14,2.6,8.3,230,2014-06-28,14.2,20,2014-06-23,
108,서울,Jul-14,2.8,10.8,230,2014-07-26,18.2,200,2014-07-26,
108,서울,Aug-14,2.4,9.3,70,2014-08-10,15.7,70,2014-08-10,
108,서울,Sep-14,2.1,7.1,70,2014-09-03,11.7,20,2014-09-24,
108,서울,Oct-14,2.4,9,70,2014-10-13,17.7,50,2014-10-13,
108,서울,Nov-14,2.5,8.7,290,2014-11-02,16.6,270,2014-11-02,
108,서울,Dec-14,2.8,11.1,290,2014-12-01,19.3,290,2014-12-01,
108,서울,Jan-15,2.6,7.7,270,2015-01-17,13,270,2015-01-02,
108,서울,Feb-15,2.9,8.5,270,2015-02-26,14.5,270,2015-02-08,
108,서울,Mar-15,3.1,9.1,290,2015-03-10,16.3,250,2015-03-11,
108,서울,Apr-15,3.1,10.4,230,2015-04-02,16.4,250,2015-04-03,
108,서울,May-15,3,11.1,230,2015-05-12,17.2,230,2015-05-12,
108,서울,Jun-15,2.5,7.8,250,2015-06-12,14.4,20,2015-06-03,
108,서울,Jul-15,2.8,8,230,2015-07-13,14.4,270,2015-07-13,
108,서울,Aug-15,2.4,8.1,290,2015-08-08,14.2,320,2015-08-08,
108,서울,Sep-15,2.3,6.7,230,2015-09-02,12.7,70,2015-09-06,
108,서울,Oct-15,2.3,8.6,250,2015-10-02,16,270,2015-10-02,
108,서울,Nov-15,2.7,7.7,70,2015-11-06,13.2,90,2015-11-06,
108,서울,Dec-15,2.3,8,320,2015-12-03,16.8,320,2015-12-02,
108,서울,Jan-16,2.5,9,340,2016-01-19,15.1,340,2016-01-18,
108,서울,Feb-16,2.8,7.6,250,2016-02-18,14.4,320,2016-02-08,
108,서울,Mar-16,2.4,7.1,270,2016-03-02,12.7,290,2016-03-29,
108,서울,Apr-16,2.4,8,320,2016-04-17,16.7,290,2016-04-17,
108,서울,May-16,2.4,8.7,270,2016-05-03,18,290,2016-05-04,
108,서울,Jun-16,2.1,6.8,340,2016-06-22,10.5,250,2016-06-25,
108,서울,Jul-16,2.1,6.1,200,2016-07-27,11.2,290,2016-07-05,
108,서울,Aug-16,2.1,7.3,70,2016-08-26,13.6,70,2016-08-26,
108,서울,Sep-16,2,8.1,200,2016-09-01,15.7,180,2016-09-01,
108,서울,Oct-16,2.1,6.3,50,2016-10-23,12.8,20,2016-10-23,
108,서울,Nov-16,2.2,6.1,290,2016-11-22,9.8,180,2016-11-04,
108,서울,Dec-16,2.2,7.2,50,2016-12-21,12.9,270,2016-12-01,
108,서울,Jan-17,2.3,7,290,2017-01-14,13.1,270,2017-01-10,
108,서울,Feb-17,2.4,7.8,290,2017-02-20,12.3,290,2017-02-20,
108,서울,Mar-17,2.4,8.5,320,2017-03-27,17.9,320,2017-03-27,
108,서울,Apr-17,2.6,8.1,200,2017-04-14,15.6,180,2017-04-14,
108,서울,May-17,2.4,8.5,230,2017-05-13,15.7,180,2017-05-13,
108,서울,Jun-17,2.4,6.4,180,2017-06-26,12.1,250,2017-06-01,
108,서울,Jul-17,2,7.3,290,2017-07-02,13.3,270,2017-07-02,
108,서울,Aug-17,2.3,7.7,200,2017-08-24,15.3,230,2017-08-24,
108,서울,Sep-17,2,6.8,230,2017-09-19,12.1,250,2017-09-19,
108,서울,Oct-17,1.9,7.6,270,2017-10-29,12.9,250,2017-10-29,
108,서울,Nov-17,2.1,6.7,290,2017-11-15,13,320,2017-11-15,
108,서울,Dec-17,1.8,6.7,290,2017-12-04,14.2,320,2017-12-10,
108,서울,Jan-18,1.9,7.2,320,2018-01-24,12.2,290,2018-01-29,
108,서울,Feb-18,2.2,6.3,320,2018-02-10,12.2,230,2018-02-13,
108,서울,Mar-18,1.9,6.9,290,2018-03-01,12.8,90,2018-03-20,
108,서울,Apr-18,2,8.8,200,2018-04-10,15.9,230,2018-04-10,
108,서울,May-18,1.7,8,290,2018-05-17,13.4,270,2018-05-17,
108,서울,Jun-18,1.7,5.7,200,2018-06-26,10.5,160,2018-06-26,
108,서울,Jul-18,1.5,4.2,200,2018-07-14,8.4,290,2018-07-11,
108,서울,Aug-18,1.7,7.1,180,2018-08-21,17.8,160,2018-08-21,
108,서울,Sep-18,1.6,5.7,270,2018-09-05,11.1,270,2018-09-06,
108,서울,Oct-18,1.5,6.1,270,2018-10-01,13.8,270,2018-10-28,
108,서울,Nov-18,1.4,5.6,270,2018-11-22,11.5,290,2018-11-09,
108,서울,Dec-18,1.8,5.9,290,2018-12-07,13.3,320,2018-12-07,
108,서울,Jan-19,1.8,6.8,320,2019-01-28,12,340,2019-01-08,
108,서울,Feb-19,1.8,5.5,320,2019-02-07,10,290,2019-02-07,
108,서울,Mar-19,2.1,7.2,320,2019-03-13,14.9,340,2019-03-13,
108,서울,Apr-19,1.9,7.3,320,2019-04-14,12.8,320,2019-04-14,
108,서울,May-19,2.1,6.1,230,2019-05-20,12.3,290,2019-05-20,
108,서울,Jun-19,1.7,5.3,270,2019-06-15,9.9,320,2019-06-03,
108,서울,Jul-19,1.8,5.9,200,2019-07-30,11.8,180,2019-07-30,
108,서울,Aug-19,1.6,7.5,200,2019-08-29,12.1,200,2019-08-29,
108,서울,Sep-19,2.2,11.8,110,2019-09-07,28.3,140,2019-09-07,
108,서울,Oct-19,2.1,6.7,360,2019-10-12,14.5,340,2019-10-12,
108,서울,Nov-19,2.2,7,270,2019-11-18,12.1,340,2019-11-18,
108,서울,Dec-19,2.1,7.5,340,2019-12-31,13.1,320,2019-12-30,
108,서울,Jan-20,2.1,7,70,2020-01-27,13.7,90,2020-01-27,
108,서울,Feb-20,2.3,8.2,320,2020-02-22,14.4,290,2020-02-22,
108,서울,Mar-20,2.5,8.2,250,2020-03-19,16.3,270,2020-03-19,
108,서울,Apr-20,3,8.9,290,2020-04-21,17,230,2020-04-21,
108,서울,May-20,2.4,7.2,70,2020-05-19,16.4,290,2020-05-18,
108,서울,Jun-20,2.3,7.6,50,2020-06-30,14.5,50,2020-06-30,
108,서울,Jul-20,2.4,8.7,50,2020-07-24,16.1,50,2020-07-24,
108,서울,Aug-20,2.3,8.3,180,2020-08-03,15.6,140,2020-08-27,
108,서울,Sep-20,2.5,9.8,270,2020-09-03,21.5,290,2020-09-03,
108,서울,Oct-20,2.1,7.2,320,2020-10-04,13.7,320,2020-10-04,
108,서울,Nov-20,2.2,8.4,290,2020-11-03,15.6,290,2020-11-03,
108,서울,Dec-20,2.2,6.5,290,2020-12-24,11.7,290,2020-12-24,
108,서울,Jan-21,2.5,8.7,250,2021-01-28,17.5,270,2021-01-28,
108,서울,Feb-21,2.6,7.5,270,2021-02-17,15.8,270,2021-02-17,
108,서울,Mar-21,2.4,6.9,230,2021-03-22,14.8,320,2021-03-21,
108,서울,Apr-21,2.6,7.1,290,2021-04-17,12.5,180,2021-04-17,
108,서울,May-21,2.4,8.4,200,2021-05-08,16,270,2021-05-30,
108,서울,Jun-21,2.2,7.8,200,2021-06-27,15,180,2021-06-22,
108,서울,Jul-21,2,7.4,50,2021-07-16,16.5,360,2021-07-16,
108,서울,Aug-21,2.1,8.3,320,2021-08-06,16.4,290,2021-08-06,
108,서울,Sep-21,2.3,7.1,320,2021-09-21,12.5,110,2021-09-20,
108,서울,Oct-21,2.1,10.6,290,2021-10-01,20.9,320,2021-10-01,
108,서울,Nov-21,2.1,9.3,270,2021-11-08,16.6,270,2021-11-08,
108,서울,Dec-21,2.3,8.1,290,2021-12-17,15.2,320,2021-12-17,
108,서울,Jan-22,2.2,7.6,270,2022-01-13,13.9,320,2022-01-13,
108,서울,Feb-22,2.6,7.4,250,2022-02-27,14.5,290,2022-02-26,
108,서울,Mar-22,2.5,8.8,180,2022-03-04,18.5,180,2022-03-04,
108,서울,Apr-22,2.7,8.4,50,2022-04-13,14.5,50,2022-04-13,
108,서울,May-22,,7.5,230,2022-05-01,14.1,230,2022-05-01,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
