지점번호,지점명,일시,평균기온,최고기온,최고기온시각,최저기온,최저기온시각
108,서울,2012-01-01,-3,0.4,001,-6.9,2326
108,서울,2012-01-02,-4.8,-1.2,1357,-8.3,758
108,서울,2012-01-03,-4.5,-0.2,1252,-6.8,752
108,서울,2012-01-04,-7.4,-4.3,1552,-9.6,837
108,서울,2012-01-05,-5.7,-1.3,1542,-9.8,740
108,서울,2012-01-06,-2.8,1.3,1500,-5.6,240000
108,서울,2012-01-07,-3.8,2,1438,-8,702
108,서울,2012-01-08,-2.5,0.4,1329,-5.5,745
108,서울,2012-01-09,-0.3,2.7,1402,-1.8,001
108,서울,2012-01-10,-2.5,1.5,1505,-5.8,732
108,서울,2012-01-11,-6,-3.3,1523,-8.1,2356
108,서울,2012-01-12,-4.6,-0.4,1600,-10.3,508
108,서울,2012-01-13,-1.2,2.6,1417,-4.1,2352
108,서울,2012-01-14,-1.5,2.7,1339,-6.3,721
108,서울,2012-01-15,-2.6,0.3,1333,-4.7,546
108,서울,2012-01-16,1,7.8,1627,-5.1,742
108,서울,2012-01-17,2.8,8.2,1353,0,606
108,서울,2012-01-18,1.4,5.4,1454,-2.2,738
108,서울,2012-01-19,5.3,8.4,1337,1.4,052
108,서울,2012-01-20,5.4,8.3,1337,3.7,219
108,서울,2012-01-21,2.4,5.7,1404,-2.6,2356
108,서울,2012-01-22,-7.7,-2.4,004,-11.6,2338
108,서울,2012-01-23,-9.6,-5.3,1616,-12.2,335
108,서울,2012-01-24,-7.3,-3.1,1555,-11.8,607
108,서울,2012-01-25,-8.2,-5,1607,-11.6,813
108,서울,2012-01-26,-2.9,1.8,1420,-8.5,048
108,서울,2012-01-27,-0.9,4.9,1519,-4.4,516
108,서울,2012-01-28,-1.8,3.1,1402,-6,752
108,서울,2012-01-29,-2.8,1.6,1501,-5.5,800
108,서울,2012-01-30,-5.6,-0.8,1306,-8.8,742
108,서울,2012-01-31,-4.7,-0.3,1355,-8.5,555
108,서울,2012-02-01,-12.8,-8.1,001,-15.3,2357
108,서울,2012-02-02,-13.7,-9.5,1515,-17.1,807
108,서울,2012-02-03,-8.6,-3.9,1613,-14.5,535
108,서울,2012-02-04,-3,1,1334,-5.2,110
108,서울,2012-02-05,-0.9,4.8,1603,-4.5,006
108,서울,2012-02-06,0.9,7,1408,-3.2,420
108,서울,2012-02-07,-8.7,-0.1,001,-11.5,2207
108,서울,2012-02-08,-8,-3.8,1533,-12.1,642
108,서울,2012-02-09,-4.5,-0.5,1416,-9,641
108,서울,2012-02-10,-3.5,1.7,1356,-6.9,2346
108,서울,2012-02-11,-3.8,0.8,1436,-9.2,707
108,서울,2012-02-12,-0.1,4.8,1455,-5,725
108,서울,2012-02-13,3.1,8.4,1412,0.2,331
108,서울,2012-02-14,3,8.3,1516,-0.3,2355
108,서울,2012-02-15,-1.3,3,1400,-4.1,729
108,서울,2012-02-16,-2.8,2.7,1442,-6.1,554
108,서울,2012-02-17,-6.4,-2.9,1610,-8.8,2309
108,서울,2012-02-18,-6.8,-2.2,1633,-9.6,735
108,서울,2012-02-19,-4.4,1.3,1604,-9.6,442
108,서울,2012-02-20,-0.2,5.3,1354,-5.5,502
108,서울,2012-02-21,2.3,5.5,1608,-0.9,144
108,서울,2012-02-22,5.8,12.1,1517,-0.8,733
108,서울,2012-02-23,4.4,8.2,1434,1.1,2357
108,서울,2012-02-24,4.3,9.7,1239,0.2,409
108,서울,2012-02-25,1.2,5,1549,-2.3,2338
108,서울,2012-02-26,-1.6,3.2,1541,-4,2349
108,서울,2012-02-27,-0.7,5.2,1552,-5.9,648
108,서울,2012-02-28,2.1,7.3,1344,-3.2,549
108,서울,2012-02-29,5.4,11.8,1537,-1.5,707
108,서울,2012-03-01,8.7,14.6,1518,4,745
108,서울,2012-03-02,6.9,9.5,255,5.2,2352
108,서울,2012-03-03,6.9,12.9,1528,2.7,720
108,서울,2012-03-04,6.2,9.7,1331,3,253
108,서울,2012-03-05,5.3,8.5,1337,3.1,2359
108,서울,2012-03-06,3,4.6,652,1.8,2311
108,서울,2012-03-07,3,7.7,1431,-0.2,702
108,서울,2012-03-08,2,5.2,1211,-0.3,707
108,서울,2012-03-09,3.4,9.1,1454,-2.1,500
108,서울,2012-03-10,3.9,8.9,1328,1.3,240000
108,서울,2012-03-11,-2.4,1.3,001,-4.6,718
108,서울,2012-03-12,-1.6,3.2,1524,-5.7,656
108,서울,2012-03-13,1.7,6.6,1547,-3.5,520
108,서울,2012-03-14,3.6,5.9,1620,1.8,2350
108,서울,2012-03-15,5.5,11.8,1614,-1.7,608
108,서울,2012-03-16,8.1,12.9,1416,5.7,544
108,서울,2012-03-17,10.4,16.1,1520,6.8,001
108,서울,2012-03-18,6.9,11.5,1328,2.2,2347
108,서울,2012-03-19,2.8,7.2,1639,-0.5,624
108,서울,2012-03-20,3.1,8.3,1502,-1.9,627
108,서울,2012-03-21,4.3,10.4,1455,-0.5,621
108,서울,2012-03-22,7.8,11.4,1409,3.3,012
108,서울,2012-03-23,5,9.7,048,2.3,2337
108,서울,2012-03-24,3.3,6.9,1558,1.5,607
108,서울,2012-03-25,3.6,7.7,1413,0.9,535
108,서울,2012-03-26,3.9,8.7,1429,-0.2,628
108,서울,2012-03-27,6.4,10.9,1345,1,644
