관측지점별,시점,평균기온,최고기온,최저기온,합계강수량,평균풍속,평균상대습도,합계일조시간
서울,2000.01,-2.1,9.9,-12.1,42.8,2.6,64,108.3
서울,2000.02,-1.7,7.5,-11.6,2.1,2.7,56,139.3
서울,2000.03,6.3,18.9,-4.8,3.1,3,55,152.8
서울,2000.04,11.9,23.5,1.8,30.7,2.9,56,156.6
서울,2000.05,17.5,30.5,7.9,75.2,2.3,66,138.3
서울,2000.06,23.7,33.9,14.6,68.1,1.9,65,133
서울,2000.07,26.8,34.2,19.9,114.7,2.1,73,108.2
서울,2000.08,26.2,35.1,19,599.4,1.7,79,112.8
서울,2000.09,20.7,31,11.9,178.5,1.7,71,116.4
서울,2000.10,14.9,26.5,3.5,18.1,1.5,64,131.3
서울,2000.11,7,20.3,-3.8,27.1,1.8,57,102.6
서울,2000.12,0.9,11.9,-11.4,27,2.2,58,106.6
서울,2001.01,-4.1,6.8,-18.6,39.4,2.2,62,97
서울,2001.02,-0.3,12.2,-10.4,45.7,2.1,60,117
서울,2001.03,5,21,-6.1,18.1,2.8,51,151
서울,2001.04,13.6,28.2,2.1,12.3,2.5,50,177.8
서울,2001.05,19.1,31.5,10.4,16.5,2.1,61,163.1
서울,2001.06,22.5,32.7,15.6,157.4,1.6,71,100.9
서울,2001.07,25.9,32.8,20.3,698.4,1.4,76,82.4
서울,2001.08,26.5,35.3,19.4,252,1,69,168.7
서울,2001.09,22.5,31.7,11,49.3,1.1,58,179.6
서울,2001.10,16.5,25.3,8.8,68.2,1.3,65,126.8
서울,2001.11,7,16,-3.1,13,1.7,58,118.1
서울,2001.12,-0.6,10.9,-8.8,15.7,2.1,49,122.9
서울,2002.01,0.3,13.5,-12,37.4,2.3,63,100.5
서울,2002.02,2.9,12.6,-5.1,2.4,2,55,103.9
서울,2002.03,7.6,19.4,-2.9,31.5,2.1,55,128.6
서울,2002.04,13.6,27.7,4.3,155.1,2.3,53,172.4
서울,2002.05,18.2,27.7,10,58,2.3,62,175
서울,2002.06,22.2,32,14.5,61.4,2,62,162.9
서울,2002.07,25.2,34.8,18.9,220.6,2.1,74,84.1
서울,2002.08,24.2,32.2,17.9,688,2,79,52.4
서울,2002.09,21.6,30.6,13.5,61.1,1.6,67,119.4
서울,2002.10,12.8,24.9,-0.3,45,2,60,146.7
서울,2002.11,4,16.7,-4.8,12.5,2.4,55,94.5
서울,2002.12,1.7,15.9,-9.1,15,2.2,60,81
서울,2003.01,-2.5,8.7,-15.5,14.1,2.5,60,92.3
서울,2003.02,2.7,11.9,-8.3,39.6,2.2,62,95
서울,2003.03,6.5,20.9,-5,26.8,2.3,58,104.3
서울,2003.04,13.2,24.6,4.8,139.6,2.5,60,125.8
서울,2003.05,19.6,30.4,8.5,106,1.8,57,170.7
서울,2003.06,21.5,31.1,14.4,156,2,69,101.8
서울,2003.07,23.8,31.4,18.3,469.8,1.8,75,86.6
서울,2003.08,24.1,32.2,16.6,684.2,1.4,77,83
서울,2003.09,20.9,28.7,13.8,258.2,1.1,72,100.4
서울,2003.10,13.9,26,2.7,41.5,2,61,195.7
서울,2003.11,9.5,21.3,-3.2,69.3,2,66,114
서울,2003.12,0.7,12,-8.1,6.9,2.4,59,180.1
서울,2004.01,-1.5,8.1,-16.7,19.8,2.1,59,176.4
서울,2004.02,2.3,18.7,-7.8,54.6,2.9,56,186.1
서울,2004.03,6.3,18.7,-5.6,27.6,2.7,49,221.6
서울,2004.04,13.1,27.3,2.7,74.1,2.7,51,210.3
서울,2004.05,17.6,27.6,8.8,168.5,2.6,68,166.9
서울,2004.06,23.2,32.5,14.6,138.1,2.1,64,151.5
서울,2004.07,24.8,34.5,19.5,510.7,2.3,82,85.4
서울,2004.08,26.1,36.2,18.7,193.3,2.4,70,147.8
서울,2004.09,21.7,31.3,12.8,198.7,2.2,69,168.2
서울,2004.10,15.2,25.6,5.3,6.5,2,54,252.6
서울,2004.11,9.1,21.5,0.2,80,2,66,156.7
서울,2004.12,1.9,16.2,-8.3,27.2,2.2,56,193.1
서울,2005.01,-2.5,7.3,-11,4.5,2.4,52,191.5
서울,2005.02,-1.9,10.5,-13.1,17.2,2.8,49,177.8
서울,2005.03,4.1,17.6,-6.5,12.5,2.9,54,221.9
서울,2005.04,13.2,29.8,4.1,94.7,3,53,199.5
서울,2005.05,17.7,30.2,6.3,85.8,2.4,55,235.3
서울,2005.06,22.7,32,15.5,168.5,2.4,69,138.3
서울,2005.07,25.3,34.2,18.3,269.4,2.2,76,79.4
서울,2005.08,25.1,35,16.5,285,2.6,75,103.1
서울,2005.09,21.8,30.8,13.8,313.3,2.3,71,113.7
서울,2005.10,14.7,24.9,3,52.6,1.7,65,200
서울,2005.11,8.6,21.8,-1.1,44.6,2.2,55,172.5
서울,2005.12,-3.9,11.1,-14,10.3,2.5,51,204.1
서울,2006.01,-0.2,9.3,-10.1,34.3,2.1,57,161.1
서울,2006.02,0.1,11.5,-14.1,15.7,2.6,53,172.6
서울,2006.03,5.2,17.2,-6.9,14,2.9,51,201.9
서울,2006.04,11.6,22.2,2.9,51.8,3,55,136
서울,2006.05,18.4,28.3,10.8,156.2,2.5,57,199.1
서울,2006.06,21.8,32.4,14.1,168.5,2.2,68,155.8
서울,2006.07,23.1,30.1,17.5,1014,2.3,82,34.3
서울,2006.08,27,34.7,20.8,121.2,2.1,69,177.1
서울,2006.09,21.1,30.3,11.3,11.1,2.1,58,195.7
서울,2006.10,17.9,27.5,7.9,30.2,2,62,185.2
서울,2006.11,8.4,20.2,-1.3,47.6,2.4,58,153.5
서울,2006.12,1.4,12.6,-12.3,17.3,2.1,59,159.4
서울,2007.01,0.4,11.8,-7.6,10.8,2,56,181.9
서울,2007.02,4,14.8,-8.6,12.6,2.3,53,171.5
서울,2007.03,6.1,16.2,-7.6,123.5,2.7,60,147.1
서울,2007.04,11.4,22.5,1.6,41.1,2.8,53,191.8
서울,2007.05,18.1,30.1,9,137.6,2.6,62,197.3
서울,2007.06,23.2,33.2,14.1,54.5,2.3,61,175.2
서울,2007.07,24.2,31.2,17.7,274.1,2.4,75,91.5
서울,2007.08,26.5,33.2,19.8,237.6,2.6,75,105.7
서울,2007.09,21.5,31.1,14.1,241.9,2.5,74,85.1
서울,2007.10,15.1,26.2,3.2,39.5,2.1,63,170.9
서울,2007.11,6.7,19.3,-5.5,26.4,2.2,55,188.5
서울,2007.12,1.8,13.8,-7.4,12.7,2.4,60,140.8
서울,2008.01,-1.7,7.3,-11.1,17.7,2.3,50,166.5
서울,2008.02,-1.2,10.5,-10.1,15,2.7,46,224.2
서울,2008.03,7.3,19.8,-1.7,53.9,2.6,56,187.3
서울,2008.04,14.1,28,3.8,38.5,2.7,50,208.1
서울,2008.05,17.7,28.5,8.1,97.7,2.7,58,213.8
서울,2008.06,21.5,29.6,13.7,165,2.7,65,173.8
서울,2008.07,25.1,32.9,20.2,530.8,2.4,78,78.7
서울,2008.08,25.3,35.4,16.3,251.2,2.5,70,196.6
서울,2008.09,22,32,10.3,99.2,1.9,64,184.6
서울,2008.10,16.1,28.3,5.6,41.8,2,62,185.1
서울,2008.11,7.6,18.4,-7.2,19.6,2.2,58,169.7
서울,2008.12,1.1,13.3,-13.1,25.9,2.5,56,157
서울,2009.01,-2,12.2,-11.4,5.7,2.5,50,210.6
서울,2009.02,2.9,16.1,-8.6,36.9,2.5,57,125.6
서울,2009.03,6,22.2,-3.3,63.9,3.1,52,202.7
서울,2009.04,12.7,25.8,2.2,66.5,2.6,54,204.5
서울,2009.05,19.1,31,9.8,109,2.5,59,240.2
서울,2009.06,22.4,32.4,14.3,132,2.5,66,181
서울,2009.07,24.3,32.4,18.7,659.4,2.3,76,115.8
서울,2009.08,25.7,34.4,16.4,285.3,2.2,69,150.9
서울,2009.09,21.8,29.9,14.4,64.5,1.8,64,201.6
서울,2009.10,16,26.4,6.2,66.9,2.1,62,236.3
서울,2009.11,6.9,21.8,-4.3,52.4,2.5,64,130.1
서울,2009.12,-1,10.1,-12.9,21.5,2.5,60,146.1
서울,2010.01,-4.5,8.4,-15.3,29.3,2.3,65,167.9
서울,2010.02,1.4,17.9,-10.8,55.3,2.4,59,141.2
서울,2010.03,4.3,14.2,-4,82.5,2.9,59,133
서울,2010.04,9.5,20.7,1.1,62.8,2.9,54,166.3
서울,2010.05,17.2,28.6,5.8,124,2.6,62,178.5
서울,2010.06,23.4,32.7,12.1,127.6,2.1,62,203
서울,2010.07,25.8,32.3,21,239.2,2.5,74,89.8
서울,2010.08,26.5,33.8,19.9,598.7,2.4,78,96.5
서울,2010.09,21.8,31.4,8.4,671.5,2.3,72,146.4
서울,2010.10,14.5,24.2,0.7,25.6,2.2,61,194.6
서울,2010.11,6.5,17.4,-5.2,10.9,2.8,55,180.3
서울,2010.12,-1.3,13.5,-15.1,16.1,3,56,157.8
서울,2011.01,-7.2,0.3,-17.8,8.9,2.8,54,218.5
서울,2011.02,1.2,13.2,-9.2,29.1,2.6,55,166.6
서울,2011.03,3.6,16.8,-5.5,14.6,3.4,51,240.2
서울,2011.04,10.7,19,4.3,110.1,3.2,54,202.1
서울,2011.05,17.9,31.2,8.5,53.4,2.8,56,180.4
서울,2011.06,22,32.9,14.4,404.5,2.9,67,170.8
서울,2011.07,24.6,34.1,18.9,1131,2.4,79,80.4
서울,2011.08,25.8,34.1,18.1,166.8,2.5,74,94
서울,2011.09,21.8,32.4,10.3,25.6,2.4,58,180.4
서울,2011.10,14.2,23.4,3.1,32,2.1,55,215.3
서울,2011.11,10.7,25.9,-5.5,56.2,2.7,60,129.5
서울,2011.12,-0.9,9.1,-10.6,7.1,2.6,51,195.6
서울,2012.01,-2.8,8.4,-12.2,6.7,2.5,49,190.5
서울,2012.02,-2,12.1,-17.1,0.8,2.9,43,224.9
서울,2012.03,5.1,16.2,-5.7,47.4,3.5,52,191.8
서울,2012.04,12.3,29.4,0.6,157,3.4,54,212.5
서울,2012.05,19.7,29.3,12,8.2,2.7,48,251.3
서울,2012.06,24.1,33.5,16.3,91.9,2.8,54,232
서울,2012.07,25.4,33.2,18.5,448.9,2.7,74,144
서울,2012.08,27.1,36.7,18.7,464.9,3,68,158.7
서울,2012.09,21,29.5,12,212,2.3,65,190.8
서울,2012.10,15.3,26,2.8,99.3,2.3,58,235.4
서울,2012.11,5.5,15.7,-3,67.8,2.7,57,181.1
서울,2012.12,-4.1,8.3,-14.5,41.4,2.7,57,193.6
서울,2013.01,-3.4,11.5,-16.4,22.1,2.7,57,167.7
서울,2013.02,-1.2,13.9,-15.8,74.1,2.9,54,187.2
서울,2013.03,5.1,23.8,-4.4,27.3,3,49,256.3
서울,2013.04,10,21.6,1.3,71.7,3.4,54,213.2
서울,2013.05,18.2,31.8,7.9,132,2.9,58,238.1
서울,2013.06,24.4,32.6,16.3,28.3,2.2,60,224
서울,2013.07,25.5,31.3,20.5,676.2,3.4,79,101
서울,2013.08,27.7,33.9,21.1,148.6,2.8,69,217.9
서울,2013.09,21.8,31.1,10.9,138.5,2.2,63,191
서울,2013.10,15.8,28.1,4.3,13.5,2.5,58,249.9
서울,2013.11,6.2,20.7,-6.4,46.8,2.7,58,188
서울,2013.12,-0.2,11,-9.8,24.7,2.4,60,184.4
서울,2014.01,-0.7,8.2,-10.5,13,2.4,50,184.4
서울,2014.02,1.9,16.4,-10.5,16.2,2.7,52,163.9
