Date,Open,High,Low,Close,Adj Close,Volume
2006-06-29,38000.000000,40500.000000,37500.000000,39200.000000,35839.207031,1195650
2006-06-30,39600.000000,40950.000000,39000.000000,40900.000000,37393.457031,472510
2006-07-03,41300.000000,41700.000000,39900.000000,41400.000000,37850.589844,207420
2006-07-04,41550.000000,44300.000000,41550.000000,44000.000000,40227.675781,277000
2006-07-05,42700.000000,44000.000000,42700.000000,44000.000000,40227.675781,137000
2006-07-06,44000.000000,44800.000000,43650.000000,44400.000000,40593.390625,227000
2006-07-07,45050.000000,45900.000000,44400.000000,45800.000000,41873.355469,294000
2006-07-10,44600.000000,45850.000000,44600.000000,45750.000000,41827.644531,139000
2006-07-11,45350.000000,45700.000000,44800.000000,45500.000000,41599.078125,191000
2006-07-12,44800.000000,45100.000000,43250.000000,44500.000000,40684.808594,189000
2006-07-13,43800.000000,44400.000000,42150.000000,43000.000000,39313.406250,180000
2006-07-14,42700.000000,45850.000000,41650.000000,43050.000000,39359.132813,99000
2006-07-18,43000.000000,43000.000000,40500.000000,40500.000000,37027.750000,183000
2006-07-19,40150.000000,41000.000000,40150.000000,40500.000000,37027.750000,119000
2006-07-20,40750.000000,40900.000000,40000.000000,40800.000000,37302.031250,123000
2006-07-21,40200.000000,40700.000000,39350.000000,39400.000000,36022.062500,111830
2006-07-24,39400.000000,40050.000000,39400.000000,40050.000000,36616.324219,82970
2006-07-25,41450.000000,41450.000000,39800.000000,40000.000000,36570.617188,174590
2006-07-26,40000.000000,40300.000000,39500.000000,39500.000000,36113.484375,356000
2006-07-27,39950.000000,40300.000000,39800.000000,39950.000000,36524.906250,199000
2006-07-28,39950.000000,40000.000000,39450.000000,40000.000000,36570.617188,107430
2006-07-31,40050.000000,40250.000000,39800.000000,40100.000000,36662.039063,99310
2006-08-01,40100.000000,40100.000000,39800.000000,40100.000000,36662.039063,70770
2006-08-02,40200.000000,40300.000000,39900.000000,40200.000000,36753.460938,67820
2006-08-03,40800.000000,40800.000000,39500.000000,40450.000000,36982.042969,68030
2006-08-04,40450.000000,41100.000000,40350.000000,41100.000000,37576.304688,164470
2006-08-07,41000.000000,41200.000000,40700.000000,40950.000000,37439.164063,43430
2006-08-08,40550.000000,41500.000000,40550.000000,41500.000000,37942.019531,71830
2006-08-09,40500.000000,41850.000000,40500.000000,41850.000000,38262.000000,26510
2006-08-10,41550.000000,41900.000000,41250.000000,41900.000000,38307.730469,50330
2006-08-11,41900.000000,42000.000000,41200.000000,41850.000000,38262.000000,45440
2006-08-14,41900.000000,41900.000000,41400.000000,41800.000000,38216.289063,46090
2006-08-16,41800.000000,41850.000000,41550.000000,41550.000000,37987.730469,65850
2006-08-17,41100.000000,41550.000000,40500.000000,41450.000000,37896.296875,141300
2006-08-18,40900.000000,41500.000000,40550.000000,40550.000000,37073.457031,113150
2006-08-21,40500.000000,40650.000000,40100.000000,40400.000000,36936.328125,64000
2006-08-22,40400.000000,41500.000000,40150.000000,40900.000000,37393.457031,113000
2006-08-23,40700.000000,41800.000000,40550.000000,41450.000000,37896.296875,81120
2006-08-24,41150.000000,41500.000000,41000.000000,41200.000000,37667.730469,82220
2006-08-25,41500.000000,41550.000000,40750.000000,41550.000000,37987.730469,95510
2006-08-28,41450.000000,41600.000000,41000.000000,41600.000000,38033.445313,70440
2006-08-29,41500.000000,41550.000000,41150.000000,41400.000000,37850.589844,65690
2006-08-30,41050.000000,41700.000000,41050.000000,41650.000000,38079.152344,83800
2006-08-31,41650.000000,41800.000000,41100.000000,41800.000000,38216.289063,111370
2006-09-01,41500.000000,41600.000000,41250.000000,41350.000000,37804.871094,58230
2006-09-04,41600.000000,41600.000000,40800.000000,41100.000000,37576.304688,71690
2006-09-05,41100.000000,41350.000000,40550.000000,40900.000000,37393.457031,53010
2006-09-06,40650.000000,40700.000000,40400.000000,40500.000000,37027.750000,97570
2006-09-07,40200.000000,40400.000000,39900.000000,40150.000000,36707.753906,109900
2006-09-08,40000.000000,40300.000000,39950.000000,40250.000000,36799.183594,67480
2006-09-11,40200.000000,40200.000000,39800.000000,39800.000000,36387.761719,104530
2006-09-12,39550.000000,39600.000000,38750.000000,38950.000000,35610.640625,204040
2006-09-13,39750.000000,39850.000000,39000.000000,39800.000000,36387.761719,121040
2006-09-14,39750.000000,40100.000000,39500.000000,40000.000000,36570.617188,153680
2006-09-15,40050.000000,42100.000000,40050.000000,41500.000000,37942.019531,247760
2006-09-18,41500.000000,42100.000000,41400.000000,42000.000000,38399.152344,248350
2006-09-19,42100.000000,43350.000000,42100.000000,43300.000000,39587.695313,319070
2006-09-20,43400.000000,43400.000000,42450.000000,43000.000000,39313.406250,111220
2006-09-21,42750.000000,43150.000000,42600.000000,42900.000000,39221.980469,142430
2006-09-22,42900.000000,44350.000000,42900.000000,43750.000000,39999.113281,212890
2006-09-25,43450.000000,43700.000000,42600.000000,43000.000000,39313.406250,54150
2006-09-26,43200.000000,43550.000000,42900.000000,43150.000000,39450.558594,98480
2006-09-27,44400.000000,44400.000000,43150.000000,43800.000000,40044.824219,159630
2006-09-28,43800.000000,43800.000000,43100.000000,43300.000000,39587.695313,211970
2006-09-29,43350.000000,44750.000000,43100.000000,44000.000000,40227.675781,112290
2006-10-02,44000.000000,44950.000000,43800.000000,44950.000000,41096.230469,80910
2006-10-04,44750.000000,46000.000000,44000.000000,45550.000000,41644.785156,135510
2006-10-09,45350.000000,45700.000000,43350.000000,45550.000000,41644.785156,118470
2006-10-10,45000.000000,46000.000000,44700.000000,46000.000000,42056.218750,158080
2006-10-11,45900.000000,46000.000000,45400.000000,46000.000000,42056.218750,44860
2006-10-12,46000.000000,46450.000000,45750.000000,46400.000000,42421.921875,167770
2006-10-13,46450.000000,46600.000000,45800.000000,46600.000000,42604.769531,63680
2006-10-16,46550.000000,46650.000000,45700.000000,46650.000000,42650.476563,59220
2006-10-17,46750.000000,47150.000000,46050.000000,46650.000000,42650.476563,75250
2006-10-18,46300.000000,46650.000000,45900.000000,46650.000000,42650.476563,42130
2006-10-19,47000.000000,47800.000000,46350.000000,47000.000000,42970.472656,142480
2006-10-20,47450.000000,47450.000000,46600.000000,46900.000000,42879.054688,66520
2006-10-23,47000.000000,47000.000000,46450.000000,46800.000000,42787.617188,143590
