Date,Open,High,Low,Close,Adj Close,Volume
2000-02-11,22000.000000,22950.000000,20000.000000,21450.000000,21450.000000,2525000
2000-02-14,20500.000000,22150.000000,18900.000000,19000.000000,19000.000000,2236000
2000-02-15,19500.000000,20000.000000,16750.000000,16900.000000,16900.000000,1766000
2000-02-16,16200.000000,18900.000000,15350.000000,18900.000000,18900.000000,1966000
2000-02-17,19000.000000,21150.000000,18500.000000,21150.000000,21150.000000,2334000
2000-02-18,23000.000000,23650.000000,22500.000000,23650.000000,23650.000000,987000
2000-02-21,23650.000000,26450.000000,23600.000000,25800.000000,25800.000000,3001000
2000-02-22,26100.000000,26500.000000,22750.000000,22750.000000,22750.000000,3040000
2000-02-23,22850.000000,25450.000000,21400.000000,25450.000000,25450.000000,4957000
2000-02-24,26450.000000,28400.000000,25050.000000,27900.000000,27900.000000,4069000
2000-02-25,27900.000000,29800.000000,25900.000000,26200.000000,26200.000000,3057000
2000-02-28,24700.000000,27000.000000,23200.000000,23700.000000,23700.000000,2461000
2000-02-29,23700.000000,26500.000000,23200.000000,26500.000000,26500.000000,2081000
2000-03-01,26500.000000,26500.000000,26500.000000,26500.000000,26500.000000,0
2000-03-02,27500.000000,29100.000000,26000.000000,26100.000000,26100.000000,1885000
2000-03-03,25000.000000,25000.000000,23000.000000,23000.000000,23000.000000,1603000
2000-03-06,24000.000000,24000.000000,20250.000000,20250.000000,20250.000000,1966000
2000-03-07,19100.000000,21500.000000,19000.000000,20950.000000,20950.000000,1524000
2000-03-08,19000.000000,23400.000000,19000.000000,21800.000000,21800.000000,1691000
2000-03-09,22100.000000,23250.000000,21500.000000,22400.000000,22400.000000,1180000
2000-03-10,22900.000000,23100.000000,21000.000000,21350.000000,21350.000000,899000
2000-03-13,20900.000000,21800.000000,19500.000000,20250.000000,20250.000000,876000
2000-03-14,19900.000000,20400.000000,18500.000000,19200.000000,19200.000000,882000
2000-03-15,18100.000000,19050.000000,17400.000000,17800.000000,17800.000000,1479000
2000-03-16,17500.000000,19000.000000,17150.000000,18100.000000,18100.000000,1801000
2000-03-17,18100.000000,18500.000000,15950.000000,16050.000000,16050.000000,987000
2000-03-20,15500.000000,16050.000000,14150.000000,14150.000000,14150.000000,757000
2000-03-21,13500.000000,15600.000000,13200.000000,15200.000000,15200.000000,2273000
2000-03-22,15500.000000,16800.000000,15200.000000,15900.000000,15900.000000,1966000
2000-03-23,16100.000000,16350.000000,14050.000000,14300.000000,14300.000000,1220000
2000-03-24,14300.000000,15800.000000,14050.000000,15300.000000,15300.000000,1295000
2000-03-27,15400.000000,17100.000000,15400.000000,17100.000000,17100.000000,1249000
2000-03-28,17400.000000,17800.000000,16600.000000,17400.000000,17400.000000,1343000
2000-03-29,16900.000000,17700.000000,16500.000000,16800.000000,16800.000000,921000
2000-03-30,16000.000000,16450.000000,14900.000000,16400.000000,16400.000000,1028000
2000-03-31,15700.000000,16000.000000,14750.000000,15000.000000,15000.000000,675000
2000-04-03,15100.000000,15400.000000,13200.000000,13200.000000,13200.000000,838000
2000-04-04,11900.000000,12450.000000,11650.000000,11800.000000,11800.000000,971000
2000-04-05,11800.000000,11800.000000,11800.000000,11800.000000,11800.000000,0
2000-04-06,12300.000000,12800.000000,11500.000000,11900.000000,11900.000000,1331000
2000-04-07,12500.000000,13300.000000,12400.000000,13300.000000,13300.000000,880000
2000-04-10,14400.000000,14850.000000,14200.000000,14850.000000,14850.000000,817000
2000-04-11,13650.000000,14250.000000,13100.000000,13100.000000,13100.000000,1189000
2000-04-12,12350.000000,13500.000000,12300.000000,13250.000000,13250.000000,1126000
2000-04-13,13250.000000,13250.000000,13250.000000,13250.000000,13250.000000,0
2000-04-14,12300.000000,12550.000000,11800.000000,12000.000000,12000.000000,912000
2000-04-17,10600.000000,10600.000000,10600.000000,10600.000000,10600.000000,33000
2000-04-18,10900.000000,11750.000000,9350.000000,9420.000000,9420.000000,3681000
2000-04-19,9870.000000,10000.000000,8500.000000,9050.000000,9050.000000,2450000
2000-04-20,8800.000000,8950.000000,8120.000000,8450.000000,8450.000000,1296000
2000-04-21,8610.000000,9460.000000,8300.000000,9460.000000,9460.000000,2243000
2000-04-24,9590.000000,9700.000000,8610.000000,8890.000000,8890.000000,1317000
2000-04-25,8520.000000,9080.000000,8410.000000,8760.000000,8760.000000,1160000
2000-04-26,9400.000000,9810.000000,9300.000000,9600.000000,9600.000000,2687000
2000-04-27,9690.000000,10300.000000,9400.000000,9600.000000,9600.000000,2531000
2000-04-28,9800.000000,10100.000000,9230.000000,9600.000000,9600.000000,1551000
2000-05-01,9600.000000,9600.000000,9600.000000,9600.000000,9600.000000,0
2000-05-02,9900.000000,10750.000000,9560.000000,10750.000000,10750.000000,2412000
2000-05-03,10950.000000,11750.000000,10500.000000,11200.000000,11200.000000,3477000
2000-05-04,11200.000000,11700.000000,10600.000000,10850.000000,10850.000000,2932000
2000-05-05,10850.000000,10850.000000,10850.000000,10850.000000,10850.000000,0
2000-05-08,11100.000000,12150.000000,11000.000000,12150.000000,12150.000000,2518000
2000-05-09,12150.000000,12150.000000,12150.000000,12150.000000,12150.000000,0
2000-05-10,12450.000000,12450.000000,12450.000000,12450.000000,12450.000000,0
2000-05-11,12450.000000,12450.000000,12450.000000,12450.000000,12450.000000,0
2000-05-12,12450.000000,12450.000000,12450.000000,12450.000000,12450.000000,0
2000-05-15,12600.000000,13850.000000,11000.000000,11000.000000,11000.000000,2504500
2000-05-16,11000.000000,11200.000000,9700.000000,9780.000000,9780.000000,2024700
2000-05-17,10000.000000,10300.000000,8610.000000,8610.000000,8610.000000,2394200
2000-05-18,7700.000000,8000.000000,7580.000000,7580.000000,7580.000000,694200
2000-05-19,6700.000000,8200.000000,6680.000000,7720.000000,7720.000000,2542200
2000-05-22,7050.000000,7440.000000,6800.000000,6800.000000,6800.000000,756200
2000-05-23,6210.000000,6840.000000,5990.000000,6250.000000,6250.000000,2142200
2000-05-24,6000.000000,6010.000000,5500.000000,5720.000000,5720.000000,1802000
2000-05-25,6190.000000,6400.000000,5950.000000,6400.000000,6400.000000,1748100
2000-05-26,6350.000000,6630.000000,5640.000000,5700.000000,5700.000000,2216100
2000-05-29,5700.000000,5700.000000,5700.000000,5700.000000,5700.000000,0
2000-05-30,5700.000000,5700.000000,5700.000000,5700.000000,5700.000000,0
2000-05-31,6600.000000,6760.000000,6500.000000,6760.000000,6760.000000,599000
2000-06-01,6850.000000,7570.000000,6410.000000,7480.000000,7480.000000,2498500
2000-06-02,7700.000000,8270.000000,7110.000000,7500.000000,7500.000000,1949900
2000-06-05,7900.000000,8270.000000,7720.000000,8100.000000,8100.000000,1623000
2000-06-06,8100.000000,8100.000000,8100.000000,8100.000000,8100.000000,0
2000-06-07,7800.000000,8900.000000,7600.000000,8500.000000,8500.000000,2630400
2000-06-08,8500.000000,8800.000000,7500.000000,7670.000000,7670.000000,1394100
2000-06-09,7110.000000,7370.000000,6910.000000,7170.000000,7170.000000,968000
2000-06-12,7200.000000,7880.000000,7150.000000,7800.000000,7800.000000,1282900
2000-06-13,7410.000000,7690.000000,6870.000000,6870.000000,6870.000000,888900
2000-06-14,6870.000000,7100.000000,6320.000000,6440.000000,6440.000000,819600
2000-06-15,6250.000000,6300.000000,5700.000000,5850.000000,5850.000000,631300
2000-06-16,5730.000000,6550.000000,5730.000000,6550.000000,6550.000000,380700
2000-06-19,7100.000000,7250.000000,6600.000000,6600.000000,6600.000000,1478300
2000-06-20,6850.000000,7100.000000,6640.000000,6770.000000,6770.000000,879400
2000-06-21,7000.000000,7200.000000,6750.000000,6880.000000,6880.000000,1001500
2000-06-22,7000.000000,7200.000000,6510.000000,6750.000000,6750.000000,722000
2000-06-23,6500.000000,6950.000000,6410.000000,6690.000000,6690.000000,812200
2000-06-26,6690.000000,7300.000000,6550.000000,7100.000000,7100.000000,1451700
2000-06-27,7100.000000,7490.000000,6900.000000,7000.000000,7000.000000,1219100
2000-06-28,6950.000000,7200.000000,6800.000000,6940.000000,6940.000000,1118000
2000-06-29,7000.000000,7100.000000,6550.000000,6660.000000,6660.000000,639200
2000-06-30,6360.000000,6560.000000,6360.000000,6490.000000,6490.000000,509800
2000-07-03,6500.000000,6660.000000,6460.000000,6570.000000,6570.000000,564000
2000-07-04,6570.000000,6580.000000,6270.000000,6300.000000,6300.000000,443400
2000-07-05,6310.000000,6500.000000,5550.000000,5900.000000,5900.000000,757400
2000-07-06,5800.000000,6050.000000,5560.000000,5820.000000,5820.000000,659000
2000-07-07,6000.000000,6090.000000,5810.000000,6000.000000,6000.000000,502100
2000-07-10,5950.000000,6100.000000,5900.000000,5980.000000,5980.000000,518700
2000-07-11,5910.000000,5980.000000,5550.000000,5800.000000,5800.000000,639900
2000-07-12,5800.000000,6100.000000,5500.000000,6000.000000,6000.000000,818300
2000-07-13,6100.000000,6170.000000,5700.000000,5710.000000,5710.000000,549200
2000-07-14,5700.000000,5800.000000,5480.000000,5600.000000,5600.000000,451900
2000-07-17,5600.000000,5600.000000,5600.000000,5600.000000,5600.000000,0
2000-07-18,5550.000000,5690.000000,5200.000000,5300.000000,5300.000000,367700
2000-07-19,5550.000000,5690.000000,5200.000000,5300.000000,5300.000000,367700
2000-07-20,4900.000000,5100.000000,4400.000000,4770.000000,4770.000000,1482300
2000-07-21,4900.000000,4970.000000,4500.000000,4510.000000,4510.000000,859000
2000-07-24,4310.000000,4450.000000,3970.000000,3970.000000,3970.000000,1893600
2000-07-25,3850.000000,3900.000000,3540.000000,3760.000000,3760.000000,1961000
2000-07-26,3800.000000,4110.000000,3760.000000,3980.000000,3980.000000,1870200
2000-07-27,3810.000000,3970.000000,3760.000000,3860.000000,3860.000000,1070300
2000-07-28,3800.000000,3820.000000,3570.000000,3640.000000,3640.000000,806700
2000-07-31,3500.000000,4070.000000,3420.000000,4070.000000,4070.000000,1469500
2000-08-01,4270.000000,4550.000000,4130.000000,4550.000000,4550.000000,2287500
2000-08-02,4550.000000,4890.000000,4450.000000,4550.000000,4550.000000,1752400
2000-08-03,4550.000000,5090.000000,4510.000000,5090.000000,5090.000000,2407700
2000-08-04,5250.000000,5500.000000,4890.000000,5160.000000,5160.000000,2334500
2000-08-07,5050.000000,5450.000000,4600.000000,4600.000000,4600.000000,1266300
2000-08-08,4700.000000,4850.000000,4300.000000,4440.000000,4440.000000,932300
2000-08-09,4440.000000,4540.000000,4270.000000,4440.000000,4440.000000,865200
2000-08-10,4520.000000,4970.000000,4490.000000,4970.000000,4970.000000,2071400
2000-08-11,5040.000000,5230.000000,4600.000000,4800.000000,4800.000000,1998000
2000-08-14,4750.000000,4850.000000,4600.000000,4620.000000,4620.000000,676900
2000-08-15,4620.000000,4620.000000,4620.000000,4620.000000,4620.000000,0
2000-08-16,4510.000000,4720.000000,4510.000000,4570.000000,4570.000000,571000
2000-08-17,4460.000000,4920.000000,4460.000000,4630.000000,4630.000000,1143700
2000-08-18,4600.000000,4700.000000,4410.000000,4530.000000,4530.000000,598000
2000-08-21,4490.000000,4490.000000,4150.000000,4240.000000,4240.000000,458200
2000-08-22,4240.000000,4550.000000,4180.000000,4420.000000,4420.000000,945000
2000-08-23,4380.000000,4460.000000,4070.000000,4120.000000,4120.000000,619600
2000-08-24,4120.000000,4430.000000,3890.000000,4090.000000,4090.000000,827000
2000-08-25,3950.000000,4200.000000,3950.000000,4070.000000,4070.000000,584800
2000-08-28,4110.000000,4550.000000,4110.000000,4550.000000,4550.000000,1561500
2000-08-29,4580.000000,4740.000000,4350.000000,4390.000000,4390.000000,1443000
2000-08-30,4460.000000,4490.000000,4280.000000,4310.000000,4310.000000,428400
2000-08-31,4310.000000,4320.000000,4000.000000,4150.000000,4150.000000,483400
2000-09-01,4150.000000,4300.000000,4050.000000,4150.000000,4150.000000,490100
2000-09-04,4120.000000,4190.000000,4060.000000,4110.000000,4110.000000,210600
2000-09-05,4050.000000,4150.000000,4010.000000,4140.000000,4140.000000,330400
2000-09-06,4010.000000,4190.000000,4010.000000,4100.000000,4100.000000,378100
2000-09-07,4020.000000,4030.000000,3850.000000,3890.000000,3890.000000,359600
2000-09-08,3870.000000,3930.000000,3730.000000,3830.000000,3830.000000,322400
2000-09-11,3830.000000,3830.000000,3830.000000,3830.000000,3830.000000,0
2000-09-12,3830.000000,3830.000000,3830.000000,3830.000000,3830.000000,0
2000-09-13,3830.000000,3830.000000,3830.000000,3830.000000,3830.000000,0
2000-09-14,3600.000000,4250.000000,3590.000000,4000.000000,4000.000000,1028200
2000-09-15,4000.000000,4100.000000,3730.000000,3840.000000,3840.000000,481000
2000-09-18,3610.000000,3610.000000,3380.000000,3380.000000,3380.000000,278700
2000-09-19,3100.000000,3370.000000,2990.000000,3050.000000,3050.000000,440800
2000-09-20,3100.000000,3290.000000,3100.000000,3150.000000,3150.000000,401000
2000-09-21,3020.000000,3090.000000,2790.000000,2810.000000,2810.000000,605300
