Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6368.095703,6835.752441,6169.092773,6835.752441,3900.892822,113006
2000-01-05,7860.618164,7860.618164,7860.618164,7860.618164,4485.743164,246439
2000-01-06,7960.119629,9034.735352,7462.611816,9034.735352,5155.765137,195701
2000-01-07,9353.140625,10387.956055,8079.521484,8079.521484,4610.663086,264230
2000-01-10,8159.122559,8855.632813,7582.013672,8557.128906,4883.214355,74129
2000-01-11,8557.128906,8656.629883,7661.615234,7910.368652,4514.133789,96862
2000-01-12,7164.107422,7661.615234,7164.107422,7363.110352,4201.835449,36570
2000-01-13,7641.714844,8258.624023,7422.811523,7621.814453,4349.467285,46454
2000-01-14,7263.608887,8059.621094,7263.608887,7462.611816,4258.615723,46454
2000-01-17,7283.509277,7522.312988,6985.004883,7164.107422,4088.272461,18779
2000-01-18,7383.010742,7383.010742,7164.107422,7164.107422,4088.272461,25368
2000-01-19,7064.605957,7064.605957,6089.491211,6268.594238,3577.237549,169015
2000-01-20,5970.089844,6766.101563,5880.538086,6726.300781,3838.433594,78412
2000-01-21,6586.999023,6706.400879,6368.095703,6407.895996,3656.731934,36241
2000-01-24,7363.110352,7363.110352,6567.098633,7363.110352,4201.835449,179228
2000-01-25,7343.210449,8467.577148,7343.210449,8368.075195,4775.328613,143975
2000-01-26,8348.175781,9621.794922,7989.969727,8387.975586,4786.684570,118277
2000-01-27,8487.477539,9532.243164,7462.611816,9054.635742,5167.122070,97191
2000-01-28,8935.234375,9412.841797,7960.119629,8756.131836,4996.778320,71164
2000-01-31,8188.973145,9233.738281,8059.621094,8557.128906,4883.214355,62598
2000-02-01,9154.137695,9154.137695,8437.726563,8994.934570,5133.052734,33934
2000-02-02,8557.128906,8935.234375,8457.626953,8567.079102,4888.892090,17461
2000-02-03,8457.626953,9830.748047,8457.626953,9830.748047,5610.018066,56997
2000-02-04,9830.748047,9830.748047,9830.748047,9830.748047,5610.018066,0
2000-02-07,10149.152344,10945.164063,9552.143555,10149.152344,5791.718262,54691
2000-02-08,10348.155273,10348.155273,9771.046875,10248.654297,5848.500000,13178
2000-02-09,10248.654297,10447.657227,9552.143555,10268.553711,5859.855957,37558
2000-02-10,10248.654297,10746.161133,9810.847656,10447.657227,5962.063477,30310
2000-02-11,10547.158203,10746.161133,9970.049805,10746.161133,6132.408691,62598
2000-02-14,10746.161133,11343.169922,10368.055664,10447.657227,5962.063477,43818
2000-02-15,10726.260742,10726.260742,10049.650391,10109.351563,5769.006836,24050
2000-02-16,9970.049805,10746.161133,9850.647461,10348.155273,5905.282227,29322
2000-02-17,10348.155273,10447.657227,10149.152344,10348.155273,5905.282227,8895
2000-02-18,10149.152344,10746.161133,9651.644531,10547.158203,6018.845215,32946
2000-02-21,10348.155273,10646.660156,10049.650391,10527.257813,6007.487793,16473
2000-02-22,10447.657227,12099.381836,10368.055664,12099.381836,6904.638184,115312
2000-02-23,12178.982422,13333.200195,11761.076172,12756.091797,7279.395020,25698
2000-02-24,12935.194336,14666.520508,12775.992188,14666.520508,8369.601563,53043
2000-02-25,16855.552734,16855.552734,15024.725586,16855.552734,9618.795898,119595
2000-02-28,16915.253906,19283.388672,16855.552734,16915.253906,9652.866211,66222
2000-02-29,17910.269531,18109.271484,16258.543945,17114.257813,9766.428711,50078
2000-03-01,17114.257813,17114.257813,17114.257813,17114.257813,9766.428711,0
2000-03-02,17313.259766,18706.281250,17114.257813,18109.271484,10334.244141,66881
2000-03-03,18348.076172,20795.812500,18348.076172,20795.812500,11867.345703,191748
2000-03-06,21492.322266,23880.359375,20795.812500,23880.359375,13627.577148,89284
2000-03-07,26865.404297,27462.412109,25870.388672,27462.412109,15671.707031,92250
2000-03-08,23482.353516,31342.970703,23482.353516,28059.421875,16012.398438,107405
2000-03-09,29054.435547,30646.460938,27462.412109,28258.423828,16125.958984,44148
2000-03-10,28258.423828,28258.423828,24079.361328,24079.361328,13741.136719,100486
2000-03-13,23482.353516,27661.416016,20895.314453,26865.404297,15331.020508,168685
2000-03-14,27860.417969,28855.433594,24875.373047,26467.396484,15103.895508,70834
2000-03-15,24477.367188,30148.953125,24477.367188,27860.417969,15898.837891,185158
2000-03-16,28059.421875,31442.472656,26865.404297,29153.937500,16636.998047,108064
2000-03-17,29452.441406,30845.462891,26069.390625,27860.417969,15898.837891,88296
2000-03-20,27462.412109,29054.435547,25472.382813,25870.388672,14763.203125,32616
2000-03-21,22188.833984,25472.382813,22188.833984,24676.371094,14081.824219,54361
2000-03-22,23979.859375,26566.898438,23979.859375,25074.376953,14308.950195,63916
2000-03-23,25074.376953,25870.388672,23681.355469,23880.359375,13627.577148,25368
2000-03-24,25671.384766,25671.384766,23780.857422,24377.865234,13911.482422,28992
2000-03-27,25571.884766,25571.884766,23283.349609,24377.865234,13911.482422,28333
2000-03-28,24576.869141,24576.869141,23681.355469,23880.359375,13627.577148,23062
2000-03-29,23482.353516,23681.355469,20895.314453,20895.314453,11924.126953,44148
2000-03-30,19900.298828,23979.859375,19900.298828,23979.859375,13684.353516,156825
2000-03-31,25870.388672,26467.396484,24178.863281,24477.367188,13968.258789,79400
2000-04-03,23880.359375,25472.382813,22785.841797,23681.355469,13514.011719,15814
2000-04-04,20397.806641,23681.355469,20198.802734,22885.343750,13059.760742,41183
2000-04-05,22885.343750,22885.343750,22885.343750,22885.343750,13059.760742,0
2000-04-06,20895.314453,23880.359375,20895.314453,22885.343750,13059.760742,14166
2000-04-07,22984.845703,22984.845703,21890.328125,22487.337891,12832.632813,13508
2000-04-10,21691.326172,23084.345703,20099.300781,21492.322266,12264.817383,121242
2000-04-11,21492.322266,21492.322266,19502.292969,19999.800781,11413.091797,49090
2000-04-12,21094.316406,21094.316406,19303.289063,19402.791016,11072.404297,39535
2000-04-13,19402.791016,19402.791016,19402.791016,19402.791016,11072.404297,0
2000-04-14,18726.181641,18765.982422,16497.347656,17114.257813,9766.428711,43159
2000-04-17,14547.118164,14547.118164,14547.118164,14547.118164,8301.461914,20426
2000-04-18,12994.895508,15920.239258,12935.194336,15820.737305,9028.267578,107734
2000-04-19,14925.223633,17910.269531,14925.223633,16517.248047,9425.738281,65563
2000-04-20,16019.740234,17094.357422,16019.740234,16019.740234,9141.833008,21085
2000-04-21,15721.236328,16696.351563,15721.236328,16119.242188,9198.613281,19767
2000-04-24,16119.242188,16397.845703,14726.220703,14726.220703,8403.670898,14825
2000-04-25,14925.223633,14925.223633,13830.708008,14328.214844,8176.544922,20097
2000-04-26,15920.239258,15920.239258,13552.103516,13930.208984,7949.418945,29322
2000-04-27,13353.100586,13771.006836,12835.692383,12835.692383,7324.821777,13837
2000-04-28,12835.692383,13731.206055,11741.176758,12537.188477,7154.475098,59633
2000-05-01,12537.188477,12537.188477,12537.188477,12537.188477,7154.475098,0
2000-05-02,12935.194336,14407.816406,12537.188477,14407.816406,8221.968750,54361
2000-05-03,15223.728516,16557.048828,15124.227539,16557.048828,9448.452148,66222
2000-05-04,18646.580078,19024.685547,17552.064453,19024.685547,10856.632813,91920
2000-05-05,19024.685547,19024.685547,19024.685547,19024.685547,10856.632813,0
2000-05-08,20596.808594,20895.314453,17512.263672,18188.873047,10379.669922,74458
2000-05-09,18188.873047,18188.873047,18188.873047,18188.873047,10379.669922,0
2000-05-10,18626.679688,21392.820313,17950.070313,21392.820313,12208.036133,92908
2000-05-11,21392.820313,21392.820313,21392.820313,21392.820313,12208.036133,0
2000-05-12,21790.826172,24477.367188,20298.304688,20298.304688,11583.436523,156166
2000-05-15,19502.292969,20895.314453,18427.675781,19561.994141,11163.254883,67210
2000-05-16,19800.796875,20497.308594,17910.269531,19502.292969,11129.186523,52714
2000-05-17,19601.794922,20895.314453,18905.283203,18905.283203,10788.496094,41841
2000-05-18,18507.277344,18507.277344,16616.750000,17213.757813,9823.209961,28004
2000-05-19,15422.731445,18308.275391,15422.731445,18288.375000,10436.450195,41183
2000-05-22,16935.154297,18805.783203,16039.640625,16258.543945,9278.106445,19108
2000-05-23,15940.139648,16716.250000,15223.728516,16258.543945,9278.106445,22403
2000-05-24,14626.719727,16716.250000,14626.719727,16517.248047,9425.738281,22074
2000-05-25,16915.253906,18507.277344,16616.750000,17910.269531,10220.680664,39865
2000-05-26,18009.769531,18009.769531,16915.253906,17213.757813,9823.209961,24709
2000-05-29,15621.734375,18109.271484,15621.734375,17273.458984,9857.278320,29651
2000-05-30,17273.458984,17273.458984,17273.458984,17273.458984,9857.278320,0
2000-05-31,17233.658203,18407.775391,17154.056641,17313.259766,9879.992188,69516
2000-06-01,17313.259766,17313.259766,17313.259766,17313.259766,9879.992188,0
2000-06-02,17313.259766,17313.259766,17313.259766,17313.259766,9879.992188,0
2000-06-05,18905.283203,19900.298828,18905.283203,19900.298828,11356.312500,73108
2000-06-06,19900.298828,19900.298828,19900.298828,19900.298828,11356.312500,0
2000-06-07,22885.343750,22885.343750,22288.333984,22885.343750,13059.760742,58875
2000-06-08,23880.359375,24875.373047,21492.322266,22885.343750,13059.760742,119463
2000-06-09,22487.337891,22487.337891,19542.093750,21591.824219,12321.597656,70241
2000-06-12,21890.328125,21890.328125,19601.794922,19800.796875,11299.531250,66156
2000-06-13,19800.796875,21293.320313,19303.289063,19502.292969,11129.186523,56140
2000-06-14,19124.187500,19900.298828,17910.269531,17910.269531,10220.680664,36998
2000-06-15,18109.271484,18706.281250,16716.250000,17512.263672,9993.556641,44971
2000-06-16,16576.949219,17711.265625,16318.245117,17213.757813,9823.209961,33308
2000-06-19,17114.257813,17412.761719,16318.245117,17114.257813,9766.428711,24281
2000-06-20,15363.030273,18407.777344,15363.030273,17313.259766,9879.992188,60950
2000-06-21,17930.169922,18288.375000,17313.259766,17313.259766,9879.992188,66782
2000-06-22,17512.263672,19900.298828,16915.253906,19203.789063,10958.841797,278496
2000-06-23,19581.894531,19880.398438,17532.164063,17552.064453,10016.267578,72778
2000-06-26,17313.259766,17910.269531,16835.652344,17094.357422,9755.073242,58677
2000-06-27,17333.160156,17353.060547,16517.248047,16915.253906,9652.866211,48727
2000-06-28,16915.253906,17910.269531,16358.045898,16915.253906,9652.866211,65464
2000-06-29,16537.148438,17313.259766,15522.233398,15920.239258,9293.500977,77522
2000-06-30,15124.227539,16517.248047,14925.223633,15721.236328,9177.330078,74294
