Date,Open,High,Low,Close,Adj Close,Volume
2002-04-24,58380.265625,59655.800781,53278.125000,55927.312500,45754.093750,4748665
2002-04-25,53964.953125,55338.605469,50825.171875,51413.882813,42061.664063,3988764
2002-04-26,50825.171875,54946.132813,49353.402344,53768.714844,43988.144531,4179962
2002-04-29,50334.582031,52395.062500,50334.582031,51217.644531,41901.113281,2028473
2002-04-30,51021.410156,51413.882813,49255.285156,50040.226563,40937.871094,2017364
2002-05-01,50040.226563,50040.226563,50040.226563,50040.226563,40937.871094,0
2002-05-02,51708.234375,53866.835938,50727.054688,53866.835938,44068.421875,2293460
2002-05-03,52983.769531,56123.550781,52591.300781,55927.312500,45754.093750,2294174
2002-05-06,54553.660156,56614.140625,53964.953125,53964.953125,44148.687500,1918096
2002-05-07,52983.769531,54455.542969,52591.300781,54455.542969,44550.042969,1649237
2002-05-08,55829.195313,57202.847656,55240.488281,56908.496094,46556.800781,2006867
2002-05-09,58772.738281,58772.738281,55927.312500,57399.085938,46958.148438,2178803
2002-05-10,56712.257813,57006.613281,52885.652344,53376.242188,43667.062500,2143743
2002-05-13,53376.242188,53376.242188,50825.171875,52983.769531,43345.980469,1895776
2002-05-14,53572.480469,54749.898438,49647.757813,50923.292969,41660.312500,4342420
2002-05-15,51512.000000,53081.890625,51315.761719,52787.535156,43185.441406,3690348
2002-05-16,53474.363281,53474.363281,51021.410156,51021.410156,41740.582031,1863264
2002-05-17,52198.828125,53376.242188,51610.117188,52493.179688,42944.625000,1967323
2002-05-20,52493.179688,54357.425781,52395.062500,53376.242188,43667.062500,1604596
2002-05-21,53180.007813,53180.007813,51021.410156,51021.410156,41740.582031,1117734
2002-05-22,51021.410156,52983.769531,50530.820313,52787.535156,43185.441406,1311073
2002-05-23,51806.355469,53180.007813,51806.355469,52002.589844,42543.277344,901770
2002-05-24,52493.179688,53474.363281,52395.062500,52885.652344,43265.714844,977393
2002-05-27,51806.355469,52885.652344,51610.117188,51806.355469,42382.738281,571861
2002-05-28,52100.707031,52395.062500,50530.820313,51512.000000,42141.925781,783239
2002-05-29,50334.582031,51021.410156,49942.109375,50530.820313,41339.230469,895859
2002-05-30,50040.226563,50334.582031,47538.218750,47783.511719,39091.656250,1603883
2002-05-31,47783.511719,48274.101563,44594.675781,44938.085938,36763.812500,1400455
2002-06-03,44643.734375,47391.039063,44594.675781,47391.039063,38770.566406,1362643
2002-06-04,45919.269531,48568.457031,45919.269531,48077.867188,39332.472656,1011638
2002-06-05,48960.929688,50727.054688,48372.222656,50530.820313,41339.230469,1433374
2002-06-06,50530.820313,50530.820313,50530.820313,50530.820313,41339.230469,0
2002-06-07,49843.992188,51315.761719,48960.929688,50825.171875,41580.039063,1280395
2002-06-10,51610.117188,52591.300781,51610.117188,52100.707031,42623.550781,955175
2002-06-11,52100.707031,53670.597656,51512.000000,53376.242188,43667.062500,882915
