지점번호,지점명,일시,강수량mm,일최다강수량mm,일최다강수량일자,1시간최다강수량mm,1시간최다강수량일자
108,서울,Jan00,428,184,20000105,,
108,서울,Feb00,21,09,20000214,,
108,서울,Mar00,31,12,20000327,,
108,서울,Apr00,307,9,20000421,41,20000421
108,서울,May00,752,27,20000519,12,20000519
108,서울,Jun00,681,215,20000629,92,20000627
108,서울,Jul00,1147,606,20000722,315,20000722
108,서울,Aug00,5994,1229,20000825,444,20000828
108,서울,Sep00,1785,688,20000916,108,20000915
108,서울,Oct00,181,118,20001024,18,20001024
108,서울,Nov00,271,109,20001120,,
108,서울,Dec00,27,139,20001223,,
108,서울,Jan01,394,217,20010107,,
108,서울,Feb01,457,232,20010215,,
108,서울,Mar01,181,112,20010303,,
108,서울,Apr01,123,65,20010411,35,20010414
108,서울,May01,165,79,20010522,24,20010507
108,서울,Jun01,1574,539,20010630,38,20010630
108,서울,Jul01,6984,2734,20010715,995,20010715
108,서울,Aug01,252,845,20010813,243,20010813
108,서울,Sep01,493,434,20010906,354,20010906
108,서울,Oct01,682,38,20011009,85,20011009
108,서울,Nov01,13,7,20011101,,
108,서울,Dec01,157,67,20011231,,
108,서울,Jan02,374,135,20020115,,
108,서울,Feb02,24,14,20020217,,
108,서울,Mar02,315,17,20020321,,
108,서울,Apr02,1551,70,20020429,125,20020430
108,서울,May02,58,215,20020507,45,20020507
108,서울,Jun02,614,315,20020610,13,20020610
108,서울,Jul02,2206,605,20020719,205,20020719
108,서울,Aug02,688,178,20020807,605,20020807
108,서울,Sep02,611,20,20020928,195,20020928
108,서울,Oct02,45,105,20021013,105,20021013
108,서울,Nov02,125,7,20021117,,
108,서울,Dec02,15,7,20021223,,
108,서울,Jan03,141,56,20030127,,
108,서울,Feb03,396,19,20030222,,
108,서울,Mar03,268,65,20030316,,
108,서울,Apr03,1396,39,20030429,105,20030418
108,서울,May03,106,895,20030507,195,20030507
108,서울,Jun03,156,515,20030627,13,20030627
108,서울,Jul03,4698,1735,20030722,335,20030722
108,서울,Aug03,6842,177,20030824,67,20030824
108,서울,Sep03,2582,101,20030918,295,20030905
108,서울,Oct03,415,13,20031028,115,20031028
108,서울,Nov03,693,165,20031111,,
108,서울,Dec03,69,35,20031217,,
108,서울,Jan04,198,79,20040117,,
108,서울,Feb04,546,46,20040221,,
108,서울,Mar04,276,146,20040304,,
108,서울,Apr04,741,305,20040426,85,20040419
108,서울,May04,1685,67,20040528,11,20040528
108,서울,Jun04,1381,84,20040619,255,20040619
108,서울,Jul04,5107,1085,20040716,435,20040706
108,서울,Aug04,1933,435,20040818,394,20040804
108,서울,Sep04,1987,565,20040911,205,20040916
108,서울,Oct04,65,55,20041012,35,20041012
108,서울,Nov04,80,28,20041126,,
108,서울,Dec04,272,15,20041204,,
108,서울,Jan05,45,22,20050129,,
108,서울,Feb05,172,9,20050216,,
108,서울,Mar05,125,7,20050317,,
108,서울,Apr05,947,415,20050409,145,20050409
108,서울,May05,858,265,20050517,11,20050518
108,서울,Jun05,1685,955,20050626,49,20050626
108,서울,Jul05,2694,115,20050728,535,20050728
108,서울,Aug05,285,575,20050810,32,20050810
108,서울,Sep05,3133,1045,20050930,38,20050913
108,서울,Oct05,526,195,20051007,6,20051021
108,서울,Nov05,446,30,20051106,,
108,서울,Dec05,103,5,20051203,,
108,서울,Jan06,343,265,20060113,,
108,서울,Feb06,157,84,20060207,,
108,서울,Mar06,14,45,20060316,,
108,서울,Apr06,518,165,20060401,105,20060419
108,서울,May06,1562,93,20060506,15,20060506
108,서울,Jun06,1685,63,20060614,10,20060610
108,서울,Jul06,1014,241,20060716,495,20060712
108,서울,Aug06,1212,32,20060826,29,20060826
108,서울,Sep06,111,45,20060909,25,20060906
108,서울,Oct06,302,215,20061022,105,20061022
108,서울,Nov06,476,17,20061106,,
108,서울,Dec06,173,55,20061217,,
108,서울,Jan07,108,9,20070106,,
108,서울,Feb07,126,115,20070213,,
108,서울,Mar07,1235,34,20070304,,
108,서울,Apr07,411,26,20070420,16,20070420
108,서울,May07,1376,49,20070524,15,20070516
108,서울,Jun07,545,22,20070628,12,20070628
108,서울,Jul07,2741,76,20070702,17,20070704
108,서울,Aug07,2376,42,20070804,275,20070804
108,서울,Sep07,2419,485,20070919,145,20070918
108,서울,Oct07,395,22,20071028,17,20071028
108,서울,Nov07,264,15,20071123,,
108,서울,Dec07,127,25,20071207,,
108,서울,Jan08,177,67,20080111,,
108,서울,Feb08,15,74,20080226,,
108,서울,Mar08,539,275,20080323,,
108,서울,Apr08,385,115,20080409,35,20080426
108,서울,May08,977,515,20080528,135,20080528
108,서울,Jun08,165,625,20080602,35,20080602
108,서울,Jul08,5308,1275,20080724,43,20080724
108,서울,Aug08,2512,725,20080822,34,20080812
108,서울,Sep08,992,725,20080901,8,20080901
108,서울,Oct08,418,215,20081031,95,20081031
108,서울,Nov08,196,13,20081127,,
108,서울,Dec08,259,7,20081208,,
108,서울,Jan09,57,33,20090116,,
108,서울,Feb09,369,345,20090213,,
108,서울,Mar09,639,195,20090313,,
108,서울,Apr09,665,385,20090420,95,20090420
108,서울,May09,109,38,20090521,55,20090521
108,서울,Jun09,132,485,20090620,16,20090629
108,서울,Jul09,6594,190,20090709,505,20090702
108,서울,Aug09,2853,1135,20090811,215,20090801
108,서울,Sep09,645,305,20090921,125,20090912
108,서울,Oct09,669,195,20091031,10,20091019
108,서울,Nov09,524,34,20091108,,
108,서울,Dec09,215,115,20091205,,
108,서울,Jan10,293,142,20100104,,
108,서울,Feb10,553,265,20100225,,
108,서울,Mar10,825,17,20100301,,
108,서울,Apr10,628,27,20100426,65,20100426
108,서울,May10,124,59,20100518,95,20100518
108,서울,Jun10,1276,71,20100612,125,20100612
108,서울,Jul10,2392,895,20100717,245,20100717
108,서울,Aug10,5987,99,20100829,47,20100815
108,서울,Sep10,6715,2595,20100921,75,20100921
108,서울,Oct10,256,15,20101002,6,20101002
108,서울,Nov10,109,5,20101122,,
108,서울,Dec10,161,6,20101228,,
108,서울,Jan11,89,53,20110123,,
108,서울,Feb11,291,285,20110227,,
108,서울,Mar11,146,58,20110324,,
108,서울,Apr11,1101,69,20110430,12,20110430
