지점번호,지점명,일시,평균습도rh,최저습도rh
108,서울,Jan00,64,28
108,서울,Feb00,56,27
108,서울,Mar00,55,23
108,서울,Apr00,56,26
108,서울,May00,66,26
108,서울,Jun00,65,21
108,서울,Jul00,74,29
108,서울,Aug00,79,26
108,서울,Sep00,71,32
108,서울,Oct00,64,23
108,서울,Nov00,57,17
108,서울,Dec00,58,22
108,서울,Jan01,62,36
108,서울,Feb01,60,15
108,서울,Mar01,51,9
108,서울,Apr01,50,11
108,서울,May01,61,16
108,서울,Jun01,71,25
108,서울,Jul01,76,37
108,서울,Aug01,69,29
108,서울,Sep01,58,20
108,서울,Oct01,65,21
108,서울,Nov01,58,17
108,서울,Dec01,49,15
108,서울,Jan02,63,22
108,서울,Feb02,55,13
108,서울,Mar02,55,10
108,서울,Apr02,53,8
108,서울,May02,62,12
108,서울,Jun02,62,21
108,서울,Jul02,74,43
108,서울,Aug02,79,36
108,서울,Sep02,67,21
108,서울,Oct02,60,17
108,서울,Nov02,56,16
108,서울,Dec02,60,21
108,서울,Jan03,60,21
108,서울,Feb03,62,17
108,서울,Mar03,58,19
108,서울,Apr03,60,13
108,서울,May03,57,15
108,서울,Jun03,69,16
108,서울,Jul03,75,34
108,서울,Aug03,77,30
108,서울,Sep03,72,19
108,서울,Oct03,61,19
108,서울,Nov03,66,13
108,서울,Dec03,59,16
108,서울,Jan04,59,16
108,서울,Feb04,56,11
108,서울,Mar04,49,11
108,서울,Apr04,51,12
108,서울,May04,68,12
108,서울,Jun04,64,17
108,서울,Jul04,82,44
108,서울,Aug04,71,22
108,서울,Sep04,69,22
108,서울,Oct04,54,14
108,서울,Nov04,66,21
108,서울,Dec04,56,15
108,서울,Jan05,52,12
108,서울,Feb05,49,15
108,서울,Mar05,54,13
108,서울,Apr05,53,9
108,서울,May05,55,8
108,서울,Jun05,69,26
108,서울,Jul05,76,44
108,서울,Aug05,75,30
108,서울,Sep05,71,30
108,서울,Oct05,65,17
108,서울,Nov05,55,10
108,서울,Dec05,51,18
108,서울,Jan06,57,18
108,서울,Feb06,53,12
108,서울,Mar06,51,8
108,서울,Apr06,55,10
108,서울,May06,57,13
108,서울,Jun06,68,21
108,서울,Jul06,82,43
108,서울,Aug06,69,34
108,서울,Sep06,58,19
108,서울,Oct06,62,11
108,서울,Nov06,58,14
108,서울,Dec06,59,16
108,서울,Jan07,56,18
108,서울,Feb07,53,13
108,서울,Mar07,60,15
108,서울,Apr07,53,14
108,서울,May07,62,17
108,서울,Jun07,61,13
108,서울,Jul07,75,35
108,서울,Aug07,75,23
108,서울,Sep07,74,36
108,서울,Oct07,63,13
108,서울,Nov07,55,15
108,서울,Dec07,60,24
108,서울,Jan08,50,13
108,서울,Feb08,46,12
108,서울,Mar08,56,10
108,서울,Apr08,50,11
108,서울,May08,58,10
108,서울,Jun08,65,23
108,서울,Jul08,78,45
108,서울,Aug08,70,29
108,서울,Sep08,64,18
108,서울,Oct08,62,22
108,서울,Nov08,58,9
108,서울,Dec08,56,16
108,서울,Jan09,50,14
108,서울,Feb09,57,12
108,서울,Mar09,52,13
108,서울,Apr09,54,13
108,서울,May09,59,15
108,서울,Jun09,66,18
108,서울,Jul09,76,36
108,서울,Aug09,69,24
108,서울,Sep09,64,23
108,서울,Oct09,62,23
108,서울,Nov09,64,19
108,서울,Dec09,60,15
108,서울,Jan10,65,26
108,서울,Feb10,59,14
108,서울,Mar10,59,13
108,서울,Apr10,54,12
108,서울,May10,62,21
108,서울,Jun10,62,12
108,서울,Jul10,74,32
108,서울,Aug10,78,26
108,서울,Sep10,72,25
108,서울,Oct10,61,14
108,서울,Nov10,55,11
108,서울,Dec10,56,17
108,서울,Jan11,54,19
108,서울,Feb11,55,15
108,서울,Mar11,51,12
108,서울,Apr11,54,10
108,서울,May11,57,15
108,서울,Jun11,67,19
108,서울,Jul11,79,30
108,서울,Aug11,74,30
108,서울,Sep11,58,13
108,서울,Oct11,55,15
108,서울,Nov11,61,14
108,서울,Dec11,51,15
108,서울,Jan12,49,12
108,서울,Feb12,43,11
108,서울,Mar12,52,9
108,서울,Apr12,54,9
108,서울,May12,48,11
108,서울,Jun12,54,21
108,서울,Jul12,74,38
108,서울,Aug12,68,31
108,서울,Sep12,65,26
108,서울,Oct12,58,14
108,서울,Nov12,57,15
108,서울,Dec12,57,17
108,서울,Jan13,57,21
108,서울,Feb13,54,15
108,서울,Mar13,49,8
108,서울,Apr13,54,12
108,서울,May13,58,11
108,서울,Jun13,60,15
108,서울,Jul13,79,40
108,서울,Aug13,69,28
108,서울,Sep13,63,16
108,서울,Oct13,59,19
108,서울,Nov13,58,18
108,서울,Dec13,60,20
108,서울,Jan14,50,13
108,서울,Feb14,52,16
108,서울,Mar14,60,16
108,서울,Apr14,60,15
108,서울,May14,59,18
108,서울,Jun14,73,32
108,서울,Jul14,74,27
108,서울,Aug14,77,32
108,서울,Sep14,69,22
108,서울,Oct14,63,15
108,서울,Nov14,61,18
108,서울,Dec14,56,21
108,서울,Jan15,56,22
108,서울,Feb15,59,17
108,서울,Mar15,45,9
108,서울,Apr15,55,11
108,서울,May15,53,12
108,서울,Jun15,60,13
108,서울,Jul15,71,28
108,서울,Aug15,70,29
108,서울,Sep15,56,15
108,서울,Oct15,61,17
108,서울,Nov15,74,23
108,서울,Dec15,60,19
108,서울,Jan16,53,17
108,서울,Feb16,52,16
108,서울,Mar16,51,15
108,서울,Apr16,55,13
108,서울,May16,56,10
108,서울,Jun16,63,21
108,서울,Jul16,73,37
108,서울,Aug16,64,27
108,서울,Sep16,65,26
108,서울,Oct16,62,13
108,서울,Nov16,57,19
108,서울,Dec16,59,16
