지점번호,지점명,일시,평균풍속ms,최대풍속ms,최대풍속풍향deg,최대풍속일자,최대순간풍속ms,최대순간풍속풍향deg,최대순간풍속일자,
108,서울,Jan00,26,76,230,20000102,123,290,20000130,
108,서울,Feb00,27,106,230,20000227,191,230,20000227,
108,서울,Mar00,3,122,200,20000327,199,230,20000327,
108,서울,Apr00,29,95,270,20000410,188,290,20000410,
108,서울,May00,23,83,230,20000507,136,230,20000528,
108,서울,Jun00,19,66,230,20000630,106,90,20000627,
108,서울,Jul00,21,95,230,20000711,15,230,20000722,
108,서울,Aug00,17,92,180,20000831,215,180,20000831,
108,서울,Sep00,17,125,200,20000901,224,200,20000901,
108,서울,Oct00,15,66,270,20001013,129,270,20001013,
108,서울,Nov00,18,63,230,20001104,121,270,20001107,
108,서울,Dec00,22,81,230,20001215,138,230,20001215,
108,서울,Jan01,22,66,230,20010129,135,270,20010128,
108,서울,Feb01,21,63,270,20010209,119,290,20010209,
108,서울,Mar01,28,89,230,20010306,176,270,20010304,
108,서울,Apr01,25,8,230,20010414,15,230,20010412,
108,서울,May01,21,72,230,20010515,112,230,20010518,
108,서울,Jun01,16,59,230,20010630,92,230,20010630,
108,서울,Jul01,14,6,230,20010731,105,250,20010722,
108,서울,Aug01,1,46,290,20010801,73,250,20010829,
108,서울,Sep01,11,53,200,20010906,89,70,20010921,
108,서울,Oct01,13,57,230,20011010,106,200,20011010,
108,서울,Nov01,17,62,200,20011128,114,270,20011106,
108,서울,Dec01,21,76,270,20011229,143,250,20011229,
108,서울,Jan02,23,79,270,20020107,161,290,20020107,
108,서울,Feb02,2,74,290,20020211,128,270,20020211,
108,서울,Mar02,21,63,250,20020322,121,250,20020322,
108,서울,Apr02,23,117,230,20020414,195,230,20020414,
108,서울,May02,23,75,270,20020518,138,230,20020530,
108,서울,Jun02,2,86,230,20020610,142,230,20020610,
108,서울,Jul02,21,7,230,20020707,134,50,20020705,
108,서울,Aug02,2,104,230,20020805,205,360,20020831,
108,서울,Sep02,16,89,50,20020901,233,20,20020901,
108,서울,Oct02,2,10,230,20021003,178,340,20021024,
108,서울,Nov02,24,98,230,20021114,165,230,20021114,
108,서울,Dec02,22,71,270,20021216,14,270,20021216,
108,서울,Jan03,25,9,270,20030129,172,250,20030127,
108,서울,Feb03,22,76,230,20030213,147,230,20030213,
108,서울,Mar03,23,75,270,20030327,16,270,20030327,
108,서울,Apr03,25,9,230,20030418,177,250,20030418,
108,서울,May03,18,78,250,20030524,133,50,20030507,
108,서울,Jun03,2,69,200,20030623,111,200,20030623,
108,서울,Jul03,18,7,230,20030722,11,50,20030703,
108,서울,Aug03,14,64,270,20030806,118,230,20030806,
108,서울,Sep03,11,62,230,20030905,13,230,20030905,
108,서울,Oct03,2,86,270,20031028,173,270,20031028,
108,서울,Nov03,2,8,270,20031121,176,270,20031121,
108,서울,Dec03,24,76,290,20031206,146,290,20031206,
108,서울,Jan04,21,78,270,20040112,148,250,20040112,
108,서울,Feb04,29,111,250,20040222,207,250,20040222,
108,서울,Mar04,27,92,230,20040310,186,230,20040310,
108,서울,Apr04,27,78,250,20040416,151,270,20040401,
108,서울,May04,26,91,250,20040519,172,250,20040519,
108,서울,Jun04,21,68,250,20040622,128,230,20040622,
108,서울,Jul04,23,79,70,20040704,148,90,20040704,
108,서울,Aug04,24,71,230,20040831,13,50,20040819,
108,서울,Sep04,22,8,50,20040907,156,70,20040907,
108,서울,Oct04,2,64,270,20041012,218,180,20041012,
108,서울,Nov04,2,97,270,20041126,21,290,20041126,
108,서울,Dec04,22,66,230,20041206,121,270,20041207,
108,서울,Jan05,24,75,290,20050131,151,290,20050131,
108,서울,Feb05,28,11,250,20050222,225,230,20050222,
108,서울,Mar05,29,95,290,20050324,167,230,20050325,
108,서울,Apr05,3,104,250,20050428,18,230,20050428,
108,서울,May05,24,93,250,20050518,151,230,20050518,
108,서울,Jun05,24,88,250,20050627,153,250,20050627,
108,서울,Jul05,22,8,250,20050728,126,250,20050728,
108,서울,Aug05,26,82,250,20050809,15,230,20050809,
108,서울,Sep05,23,84,50,20050906,153,50,20050906,
108,서울,Oct05,17,54,270,20051028,111,250,20051014,
108,서울,Nov05,22,84,290,20051128,168,270,20051128,
108,서울,Dec05,25,76,320,20051217,158,290,20051217,
108,서울,Jan06,21,61,320,20060122,121,340,20060106,
108,서울,Feb06,26,81,290,20060216,156,290,20060216,
108,서울,Mar06,29,109,230,20060304,202,250,20060304,
108,서울,Apr06,3,91,290,20060420,168,250,20060420,
108,서울,May06,25,86,250,20060522,146,270,20060522,
108,서울,Jun06,22,8,230,20060630,135,230,20060630,
108,서울,Jul06,23,92,250,20060715,16,230,20060715,
108,서울,Aug06,21,76,70,20060818,162,70,20060819,
108,서울,Sep06,21,71,70,20060917,138,70,20060917,
108,서울,Oct06,2,85,50,20061023,171,70,20061023,
108,서울,Nov06,24,81,230,20061108,156,270,20061115,
108,서울,Dec06,21,72,290,20061228,143,270,20061228,
108,서울,Jan07,2,8,250,20070106,155,290,20070106,
108,서울,Feb07,23,86,290,20070214,148,250,20070203,
108,서울,Mar07,27,10,230,20070305,182,250,20070305,
108,서울,Apr07,28,94,230,20070420,187,230,20070420,
108,서울,May07,26,87,230,20070514,176,290,20070512,
108,서울,Jun07,23,69,250,20070605,118,50,20070615,
108,서울,Jul07,24,73,360,20070729,161,360,20070729,
108,서울,Aug07,26,99,230,20070809,187,230,20070809,
108,서울,Sep07,25,8,230,20070921,138,50,20070922,
108,서울,Oct07,21,8,270,20071028,145,270,20071028,
108,서울,Nov07,22,77,290,20071117,148,290,20071117,
108,서울,Dec07,24,85,290,20071231,156,250,20071207,
108,서울,Jan08,23,69,270,20080123,128,70,20080121,
108,서울,Feb08,27,84,230,20080222,138,340,20080223,
108,서울,Mar08,26,83,230,20080324,128,250,20080315,
108,서울,Apr08,27,109,230,20080425,197,230,20080425,
108,서울,May08,27,87,230,20080519,166,230,20080519,
108,서울,Jun08,27,75,250,20080618,125,250,20080618,
108,서울,Jul08,24,79,200,20080721,151,230,20080721,
108,서울,Aug08,25,86,230,20080801,159,230,20080801,
108,서울,Sep08,19,66,340,20080925,115,270,20080926,
108,서울,Oct08,2,72,270,20081024,126,320,20081024,
108,서울,Nov08,22,84,290,20081129,157,320,20081129,
108,서울,Dec08,25,82,270,20081229,146,340,20081205,
